train,test,n
0.9990304440566221,0.5417272462925269,47.0
0.9990304440566221,0.6158767083454493,48.0
0.9991273996509599,0.6211107880197732,49.0
0.9991273996509599,0.6167490549578366,50.0
0.9991273996509599,0.6147135795289328,51.0
0.9991273996509599,0.6086071532422216,52.0
0.9991273996509599,0.6202384414073858,53.0
0.9992243552452976,0.6126781041000291,54.0
0.9992243552452976,0.5865077057284094,55.0
0.9992243552452976,0.6199476592032568,56.0
0.9992243552452976,0.6091887176504798,57.0
0.9992243552452976,0.5966850828729282,58.0
0.9992243552452976,0.5998836871183484,59.0
0.9993213108396355,0.6068624600174469,60.0
0.9993213108396355,0.5943588252398954,61.0
0.9993213108396355,0.6222739168362896,62.0
0.9993213108396355,0.6054085489968014,63.0
0.9993213108396355,0.588252398953184,64.0
0.9993213108396355,0.5873800523407967,65.0
0.9993213108396355,0.6065716778133178,66.0
0.9993213108396355,0.5966850828729282,67.0
0.9993213108396355,0.6045362023844141,68.0
0.9993213108396355,0.6001744693224774,69.0
0.9993213108396355,0.5987205583018319,70.0
0.9993213108396355,0.6065716778133178,71.0
0.9993213108396355,0.6208200058156441,72.0
0.9993213108396355,0.6161674905495783,73.0
0.9993213108396355,0.5940680430357662,74.0
0.9993213108396355,0.6170398371619656,75.0
0.9993213108396355,0.6025007269555103,76.0
0.9993213108396355,0.6022099447513812,77.0
0.9993213108396355,0.6033730735678976,78.0
0.9993213108396355,0.6007560337307357,79.0
0.9993213108396355,0.6161674905495783,80.0
0.9994182664339732,0.6132596685082873,81.0
0.9994182664339732,0.6138412329165455,82.0
0.9994182664339732,0.6025007269555103,83.0
0.9994182664339732,0.6036638557720267,84.0
0.9994182664339732,0.6027915091596394,85.0
0.9994182664339732,0.6155859261413201,86.0
0.9994182664339732,0.6051177667926723,87.0
0.9994182664339732,0.5955219540564117,88.0
0.9994182664339732,0.6051177667926723,89.0
0.999515222028311,0.599011340505961,90.0
0.999515222028311,0.5955219540564117,91.0
0.999515222028311,0.5446350683338179,92.0
0.999515222028311,0.5847630125036348,93.0
0.999515222028311,0.5870892701366677,94.0
0.999515222028311,0.6010468159348648,95.0
0.999515222028311,0.5705146845013085,96.0
0.999515222028311,0.5702239022971795,97.0
0.999515222028311,0.5911602209944752,98.0
0.999515222028311,0.5870892701366677,99.0
0.999515222028311,0.5780750218086653,100.0
0.999515222028311,0.5411456818842687,101.0
0.999515222028311,0.5373655132305903,102.0
0.999515222028311,0.5396917708636232,103.0
0.999515222028311,0.5713870311136958,104.0
0.999515222028311,0.5708054667054376,105.0
0.999515222028311,0.5891247455655714,106.0
0.999515222028311,0.5873800523407967,107.0
0.999515222028311,0.5946496074440244,108.0
0.999515222028311,0.6007560337307357,109.0
0.999515222028311,0.5998836871183484,110.0
0.999515222028311,0.6138412329165455,111.0
0.999515222028311,0.5818551904623437,112.0
0.999515222028311,0.6240186100610643,113.0
0.999515222028311,0.6138412329165455,114.0
0.999515222028311,0.6059901134050596,115.0
0.999515222028311,0.6129688863041581,116.0
0.999515222028311,0.5786565862169235,117.0
0.999515222028311,0.5841814480953765,118.0
0.999515222028311,0.5780750218086653,119.0
0.999515222028311,0.5478336725792381,120.0
0.999515222028311,0.6068624600174469,121.0
0.999515222028311,0.5926141320151207,122.0
0.999515222028311,0.6152951439371911,123.0
0.999515222028311,0.6007560337307357,124.0
0.999515222028311,0.5850537947077639,125.0
0.999515222028311,0.6022099447513812,126.0
0.999515222028311,0.5835998836871183,127.0
0.999515222028311,0.6051177667926723,128.0
0.999515222028311,0.5969758650770572,129.0
0.999515222028311,0.569060773480663,130.0
0.999515222028311,0.5693515556847921,131.0
0.999515222028311,0.5687699912765338,132.0
0.999515222028311,0.5833091014829892,133.0
0.999515222028311,0.5737132887467287,134.0
0.999515222028311,0.5931956964233789,135.0
0.999515222028311,0.6042454201802849,136.0
0.999515222028311,0.5902878743820879,137.0
0.999515222028311,0.6077348066298343,138.0
0.999515222028311,0.5963943006687991,139.0
0.999515222028311,0.6071532422215761,140.0
0.999515222028311,0.5940680430357662,141.0
0.999515222028311,0.6033730735678976,142.0
0.999515222028311,0.6100610642628671,143.0
0.999515222028311,0.6123873218959,144.0
0.999515222028311,0.6048269845885432,145.0
0.9996121776226489,0.6161674905495783,146.0
0.9996121776226489,0.6022099447513812,147.0
0.9996121776226489,0.6167490549578366,148.0
0.9996121776226489,0.5914510031986042,149.0
0.9996121776226489,0.6054085489968014,150.0
0.9996121776226489,0.6129688863041581,151.0
0.9996121776226489,0.6007560337307357,152.0
0.9996121776226489,0.6045362023844141,153.0
0.9997091332169866,0.6062808956091887,154.0
0.9997091332169866,0.6109334108752544,155.0
0.9997091332169866,0.6088979354463507,156.0
0.9997091332169866,0.6132596685082873,157.0
0.9997091332169866,0.617912183774353,158.0
0.9997091332169866,0.6150043617330619,159.0
0.9997091332169866,0.6094794998546089,160.0
0.9997091332169866,0.6048269845885432,161.0
0.9997091332169866,0.5760395463797615,162.0
0.9997091332169866,0.5437627217214307,163.0
0.9997091332169866,0.5751671997673742,164.0
0.9997091332169866,0.585635359116022,165.0
0.9997091332169866,0.5760395463797615,166.0
0.9997091332169866,0.582727537074731,167.0
0.9997091332169866,0.5972666472811864,168.0
0.9997091332169866,0.6138412329165455,169.0
0.9997091332169866,0.6123873218959,170.0
0.9997091332169866,0.6036638557720267,171.0
0.9997091332169866,0.6039546379761559,172.0
0.9997091332169866,0.585635359116022,173.0
0.9997091332169866,0.5748764175632451,174.0
0.9997091332169866,0.5920325676068625,175.0
0.9997091332169866,0.580110497237569,176.0
0.9997091332169866,0.5911602209944752,177.0
0.9997091332169866,0.6010468159348648,178.0
0.9997091332169866,0.6094794998546089,179.0
0.9997091332169866,0.6120965396917709,180.0
0.9997091332169866,0.5905786565862169,181.0
0.9997091332169866,0.5862169235242803,182.0
0.9997091332169866,0.5981389938935737,183.0
0.9997091332169866,0.5940680430357662,184.0
0.9997091332169866,0.6007560337307357,185.0
0.9997091332169866,0.6019191625472521,186.0
0.9997091332169866,0.5998836871183484,187.0
0.9997091332169866,0.588252398953184,188.0
0.9997091332169866,0.62867112532713,189.0
0.9997091332169866,0.590869438790346,190.0
0.9997091332169866,0.5783658040127945,191.0
0.9997091332169866,0.5940680430357662,192.0
0.9997091332169866,0.6152951439371911,193.0
0.9997091332169866,0.6077348066298343,194.0
0.9997091332169866,0.539400988659494,195.0
0.9997091332169866,0.5428903751090434,196.0
0.9997091332169866,0.5498691480081419,197.0
0.9997091332169866,0.56353591160221,198.0
0.9997091332169866,0.5440535039255597,199.0
0.9997091332169866,0.5417272462925269,200.0
0.9997091332169866,0.5594649607444024,201.0
0.9997091332169866,0.5414364640883977,202.0
0.9997091332169866,0.5833091014829892,203.0
0.9997091332169866,0.5894155277697005,204.0
0.9997091332169866,0.585635359116022,205.0
0.9997091332169866,0.5961035184646699,206.0
0.9997091332169866,0.5966850828729282,207.0
0.9997091332169866,0.5888339633614422,208.0
0.9997091332169866,0.6091887176504798,209.0
0.9997091332169866,0.6155859261413201,210.0
0.9997091332169866,0.6118057574876418,211.0
0.9997091332169866,0.5795289328293108,212.0
0.9997091332169866,0.571677813317825,213.0
0.9997091332169866,0.5923233498109916,214.0
0.9997091332169866,0.593486478627508,215.0
0.9997091332169866,0.5748764175632451,216.0
0.9997091332169866,0.5792381506251817,217.0
0.9997091332169866,0.6123873218959,218.0
0.9997091332169866,0.5894155277697005,219.0
0.9997091332169866,0.580110497237569,220.0
0.9997091332169866,0.5963943006687991,221.0
0.9997091332169866,0.5751671997673742,222.0
0.9997091332169866,0.6118057574876418,223.0
0.9997091332169866,0.623437045652806,224.0
0.9997091332169866,0.6109334108752544,225.0
0.9997091332169866,0.5870892701366677,226.0
0.9997091332169866,0.5902878743820879,227.0
0.9997091332169866,0.6027915091596394,228.0
0.9997091332169866,0.6068624600174469,229.0
0.9997091332169866,0.623437045652806,230.0
0.9997091332169866,0.6039546379761559,231.0
0.9997091332169866,0.5865077057284094,232.0
0.9997091332169866,0.5876708345449259,233.0
0.9997091332169866,0.5696423378889212,234.0
0.9997091332169866,0.5376562954347194,235.0
0.9997091332169866,0.5891247455655714,236.0
0.9997091332169866,0.5824367548706019,237.0
0.9997091332169866,0.5963943006687991,238.0
0.9997091332169866,0.5754579819715033,239.0
0.9997091332169866,0.5588833963361443,240.0
0.9997091332169866,0.5969758650770572,241.0
0.9997091332169866,0.6132596685082873,242.0
0.9997091332169866,0.6059901134050596,243.0
0.9997091332169866,0.5978482116894446,244.0
0.9997091332169866,0.6007560337307357,245.0
0.9997091332169866,0.5937772608316371,246.0
0.9997091332169866,0.601628380343123,247.0
0.9997091332169866,0.6152951439371911,248.0
0.9997091332169866,0.6022099447513812,249.0
0.9997091332169866,0.6068624600174469,250.0
0.9997091332169866,0.609770282058738,251.0
0.9997091332169866,0.5923233498109916,252.0
0.9997091332169866,0.5958127362605409,253.0
0.9997091332169866,0.5844722302995057,254.0
0.9997091332169866,0.6059901134050596,255.0
0.9997091332169866,0.593486478627508,256.0
0.9997091332169866,0.5940680430357662,257.0
0.9997091332169866,0.6007560337307357,258.0
0.9997091332169866,0.6094794998546089,259.0
0.9997091332169866,0.6138412329165455,260.0
0.9997091332169866,0.5987205583018319,261.0
0.9997091332169866,0.6059901134050596,262.0
0.9997091332169866,0.6025007269555103,263.0
0.9997091332169866,0.6033730735678976,264.0
0.9997091332169866,0.5949403896481535,265.0
0.9997091332169866,0.5783658040127945,266.0
0.9997091332169866,0.5466705437627217,267.0
0.9997091332169866,0.588252398953184,268.0
0.9997091332169866,0.6100610642628671,269.0
0.9997091332169866,0.5949403896481535,270.0
0.9997091332169866,0.6147135795289328,271.0
0.9997091332169866,0.6019191625472521,272.0
0.9997091332169866,0.5658621692352428,273.0
0.9997091332169866,0.6106426286711253,274.0
0.9997091332169866,0.6237278278569351,275.0
0.9997091332169866,0.6199476592032568,276.0
0.9997091332169866,0.6182029659784821,277.0
0.9997091332169866,0.6214015702239023,278.0
0.9997091332169866,0.6126781041000291,279.0
0.9997091332169866,0.6214015702239023,280.0
0.9997091332169866,0.6164582727537075,281.0
0.9997091332169866,0.577202675196278,282.0
0.9997091332169866,0.593486478627508,283.0
0.9997091332169866,0.5804012794416982,284.0
0.9997091332169866,0.5780750218086653,285.0
